archive_id,filename,thematic_family,phase1_status,phase2_candidate_state,confidence,reason,derived_from,human_gate,final_state,approval_basis,canon_role,canon_reason
DVV-VIS-0001,1000072509.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,DUPLICATE_NEAR_DUPLICATE,SUPERSEDED_DUPLICATE,high,perceptual duplicate/near-duplicate of lámina_anatómica_de_aberración_carmesí.png (distance 0),lámina_anatómica_de_aberración_carmesí.png,EVIDENCED,SUPERSEDED_DUPLICATE,EVIDENCED,,
DVV-VIS-0002,1000072510.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,DUPLICATE_NEAR_DUPLICATE,SUPERSEDED_DUPLICATE,high,perceptual duplicate/near-duplicate of dossier_de_organismo_anómalo_divinivid.png (distance 0),dossier_de_organismo_anómalo_divinivid.png,EVIDENCED,SUPERSEDED_DUPLICATE,EVIDENCED,,
DVV-VIS-0003,1000072511.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,DUPLICATE_NEAR_DUPLICATE,SUPERSEDED_DUPLICATE,high,perceptual duplicate/near-duplicate of anatomía_onírica_entre_mundos.png (distance 0),anatomía_onírica_entre_mundos.png,EVIDENCED,SUPERSEDED_DUPLICATE,EVIDENCED,,
DVV-VIS-0004,1000072512.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,DUPLICATE_NEAR_DUPLICATE,SUPERSEDED_DUPLICATE,high,perceptual duplicate/near-duplicate of divinivid_umbral_sagrado.png (distance 0),divinivid_umbral_sagrado.png,EVIDENCED,SUPERSEDED_DUPLICATE,EVIDENCED,,
DVV-VIS-0005,1000072513.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,DUPLICATE_NEAR_DUPLICATE,SUPERSEDED_DUPLICATE,high,perceptual duplicate/near-duplicate of revelación_oscura_ritual_entre_sombras.png (distance 0),revelación_oscura_ritual_entre_sombras.png,EVIDENCED,SUPERSEDED_DUPLICATE,EVIDENCED,,
DVV-VIS-0006,1000072617.jpg,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,UNASSESSED,EVIDENCE_ONLY,high,"source/conversation evidence, not production asset",,EVIDENCED,EVIDENCE_ONLY,EVIDENCED,,
DVV-VIS-0007,a_detailed_cinematic_editorial_design_board_mood.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0008,a_detailed_high_end_editorial_moodboard_image_a.png,07_EDITORIAL_TYPOGRAPHY_INFORMATION,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0009,a_large_intricate_editorial_moodboard_brand_guid.png,05_DIGITAL_WEB_MOBILE_UI,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0010,a_moody_ornate_editorial_collage_and_branding_boa.png,07_EDITORIAL_TYPOGRAPHY_INFORMATION,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
