archive_id,filename,thematic_family,canon_role,canon_reason,approval_basis
DVV-VIS-0075,atlas_cósmico_de_célula_a_luna_roja.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,TRANSFORMATIVE_STRUCTURE,Cell-to-red-moon transformation logic,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0088,atlas_de_paisajes_medulares.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,ANATOMY_BY_ANALOGY,Medullary landscape / anatomy-by-analogy,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0089,atlas_de_placas_petri_duales.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,SPECIMEN_DUALITY,Petri/dual-field specimen logic,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0093,atlas_de_santuarios_vivientes.png,04_ENVIRONMENTS_AND_IMPOSSIBLE_GEOMETRY,LIVING_ENVIRONMENTS,Living sanctuary / environment-as-entity,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0122,bestiario_del_carnaval_de_sombras.png,03_BESTIARY_AND_ENTITIES,HARLEQUIN_LIMINAL,Harlequin / liminal shadow family,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0129,bestiario_iluminado_de_entidades_divinivid.png,03_BESTIARY_AND_ENTITIES,MEDIEVAL_BESTIARY,Illuminated medieval entity grammar,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0130,bestiario_infernal_órdenes_abisales.png,03_BESTIARY_AND_ENTITIES,INFERNAL_FAMILY,Infernal/abyssal entity family,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0135,canon_de_movimiento_divinivid.png,06_MOTION_MASTER_LANGUAGE,MOTION_MASTER,Motion as behavior / canonical motion system,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0136,cartel_de_comportamiento_oscuridad_viviente.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,LIVING_DARKNESS,Living Darkness behavior as active material,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0141,codex_divinivid_sistema_de_anotación.png,07_EDITORIAL_TYPOGRAPHY_INFORMATION,ANNOTATION_SYSTEM,Scientific/editorial annotation system,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0145,códice_divinivid_lenguaje_de_medición.png,07_EDITORIAL_TYPOGRAPHY_INFORMATION,MEASUREMENT_SYSTEM,Measurement/instrument language,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0150,divinivid_01_el_canon_de_lo_invisible.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,IDENTITY_MOTHER,Master invisible-world / DIVINIVID core universe,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0185,gramática_cósmica_de_movimiento_tipográfico.png,06_MOTION_MASTER_LANGUAGE,TYPOGRAPHIC_MOTION,Corrected typographic motion grammar,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0198,mapa_maestro_de_activos_divinivid.png,09_ASSET_FACTORY_BRIDGE,ASSET_FAMILY_MAP,Asset-family / production bridge map,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0213,orrerys_hiperbólicos_atlas_de_geometrías_imposibl.png,04_ENVIRONMENTS_AND_IMPOSSIBLE_GEOMETRY,IMPOSSIBLE_GEOMETRY,Hyperbolic / impossible geometry system,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0220,semántica_cromática_del_universo_divinivid.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,COLOR_SEMANTICS,"Semantic color system: darkness, ivory, crimson, aged gold, selective ultramar",HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0227,sistema_tipográfico_cósmico_divinivid.png,07_EDITORIAL_TYPOGRAPHY_INFORMATION,TYPOGRAPHY_SYSTEM,Typographic system,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0241,tablero_de_interfaz_cósmica_divinivid.png,05_DIGITAL_WEB_MOBILE_UI,DIGITAL_APPLICATION,DIVINIVID interface/application language,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
DVV-VIS-0242,tablero_de_marca_divinivid_en_modo_abisal.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,INTENSITY_B_ABYSSAL,Abyssal/subtle intensity mode,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20
